Groups:
data_out_pin[7..0] =, data_out_pin[7], data_out_pin[6], data_out_pin[5], data_out_pin[4], data_out_pin[3], data_out_pin[2], data_out_pin[1], data_out_pin[0],  hex
instrCounter[15..0] =, instrCounter[15], instrCounter[14], instrCounter[13], instrCounter[12], instrCounter[11], instrCounter[10], instrCounter[9], instrCounter[8], instrCounter[7], instrCounter[6], instrCounter[5], instrCounter[4], instrCounter[3], instrCounter[2], instrCounter[1], instrCounter[0],  hex
counter[7..0] =, counter[7], counter[6], counter[5], counter[4], counter[3], counter[2], counter[1], counter[0],  hex
com[9..0] =, com[9], com[8], com[7], com[6], com[5], com[4], com[3], com[2], com[1], com[0],  hex
data_out_reg[7..0] =, data_out_reg[7], data_out_reg[6], data_out_reg[5], data_out_reg[4], data_out_reg[3], data_out_reg[2], data_out_reg[1], data_out_reg[0],  hex

Data:
time unit: ns, rs_pin, rw_pin, data_out_pin[7..0], data_out_pin[7], data_out_pin[6], data_out_pin[5], data_out_pin[4], data_out_pin[3], data_out_pin[2], data_out_pin[1], data_out_pin[0], busyTick, test~reg0, busy_signal_storage, enable_pin, instrCounter[15..0], instrCounter[15], instrCounter[14], instrCounter[13], instrCounter[12], instrCounter[11], instrCounter[10], instrCounter[9], instrCounter[8], instrCounter[7], instrCounter[6], instrCounter[5], instrCounter[4], instrCounter[3], instrCounter[2], instrCounter[1], instrCounter[0], counter[7..0], counter[7], counter[6], counter[5], counter[4], counter[3], counter[2], counter[1], counter[0], go_pin, start, com[9..0], com[9], com[8], com[7], com[6], com[5], com[4], com[3], com[2], com[1], com[0], data_out_reg[7..0], data_out_reg[7], data_out_reg[6], data_out_reg[5], data_out_reg[4], data_out_reg[3], data_out_reg[2], data_out_reg[1], data_out_reg[0], test, 
128400, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128420, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128440, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128460, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2A, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128480, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2B, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128500, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2C, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128520, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2D, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128540, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2E, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128560, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2F, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128580, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128600, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128620, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 32, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128640, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128660, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128680, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128700, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128720, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128740, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128760, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128780, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3A, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128800, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3B, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128820, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3C, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128840, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 00, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128860, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 01, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128880, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 02, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128900, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 03, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128920, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 04, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128940, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 05, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128960, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
128980, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 07, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129000, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 08, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129020, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 09, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129040, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0A, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129060, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0B, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129080, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0C, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129100, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0D, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129120, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0E, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129140, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0F, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129160, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129180, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129200, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129220, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129240, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129260, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129280, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129300, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129320, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129340, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129360, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1A, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129380, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1B, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129400, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1C, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129420, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1D, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129440, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1E, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129460, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1F, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129480, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129500, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129520, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129540, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129560, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129580, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129600, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129620, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129640, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129660, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
129680, 0, 1, 7F, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2A, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 006, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 06, 0, 0, 0, 0, 0, 1, 1, 0, 1, 
